dataset	annotation	N_anno	annoCoverage	peakset	propAnnoPeaks	peaksCoverage	propAnnoNotPeaks	genomeSize	estimate	CI95	z	SE	pvalue	warnings
AFF1	CpG_islands	31144	24200434	MSPC_IDR	0.0788129703157	1397066	0.0078041204915	3088269832	0.0710088498242	0.07089, 0.07113	951.649893696	7.46165688606e-05	0	None
AFF1	CpG_islands	31144	24200434	MSPC	0.125097185508	5569245	0.00762439826519	3088269832	0.117472787243	0.11741, 0.11753	3141.21664526	3.73972255049e-05	0	None
AFF1	CpG_islands	31144	24200434	Discarded	0.0982353513093	617119	0.00781817556948	3088269832	0.0904171757398	0.09023, 0.0906	805.465076479	0.000112254619573	0	None
AFF1	DNase_clusters	2107358	458295457	MSPC_IDR	0.461901970342	1397066	0.148256887744	3088269832	0.313645082598	0.31315, 0.31414	1042.59478812	0.000300831239684	0	None
AFF1	DNase_clusters	2107358	458295457	MSPC	0.650284616625	5569245	0.147492060716	3088269832	0.502792555909	0.50254, 0.50304	3334.73860588	0.000150774203118	0	None
AFF1	DNase_clusters	2107358	458295457	Discarded	0.67608892922	617119	0.148293306181	3088269832	0.527795623039	0.52705, 0.52854	1166.202326	0.000452576376563	0	None
AFF1	Enhancers	393964	586976760	MSPC_IDR	0.554172419791	1397066	0.189901751263	3088269832	0.364270668528	0.36372, 0.36482	1097.12739783	0.000332022214783	0	None
AFF1	Enhancers	393964	586976760	MSPC	0.836157354155	5569245	0.188899303632	3088269832	0.647258050524	0.64698, 0.64753	3889.6113626	0.000166406869526	0	None
AFF1	Enhancers	226711	304136048	Discarded	0.360220054446	617119	0.0984287344943	3088269832	0.261791319952	0.26117, 0.26242	690.133162961	0.000379334502386	0	None
AFF1	Exons	313276	134968333	MSPC_IDR	0.15665318843	1397066	0.04365242375	3088269832	0.11300076468	0.11272, 0.11329	653.18642256	0.000172999255307	0	None
AFF1	Exons	313276	134968333	MSPC	0.184596622236	5569245	0.0434490036458	3088269832	0.14114761859	0.14101, 0.14129	1627.89059152	8.67058384176e-05	0	None
AFF1	Exons	313276	134968333	Discarded	0.15763546798	617119	0.0436807716347	3088269832	0.113954696346	0.11353, 0.11438	437.843641227	0.000260263449359	0	None
AFF1	Introns	172751	1580157646	MSPC_IDR	0.566736598889	1397066	0.511639447828	3088269832	0.0550971510609	0.0544, 0.05579	130.252992943	0.000423001036797	0	None
AFF1	Introns	172751	1580157646	MSPC	0.584647006076	5569245	0.511532521245	3088269832	0.0731144848309	0.07277, 0.07346	344.87195901	0.000212004725002	0	None
AFF1	Introns	172751	1580157646	Discarded	0.612699312938	617119	0.511644179043	3088269832	0.101055133895	0.10001, 0.1021	158.799087419	0.00063637099896	0	None
AFF1	Promoters	67635	423844937	MSPC_IDR	0.416840423544	1397066	0.137116951434	3088269832	0.279723472111	0.27924, 0.2802	960.614793041	0.000291192134597	0	None
